id,subject,question,delta_correctness,delta_completeness,delta_clarity,delta_conciseness,delta_overall
9da1e,Physics,"दिये गये PN-सन्धि डायोड परिपथ के लिए, निम्न में से कौन सा कथन सत्य है -

The image shows a simple electrical circuit consisting of a resistor, a diode, and a voltage source connected in series. The resistor is represented by a zig-zag line. The diode is represented by a triangle pointing towards a vertical line. The voltage source is represented by a long vertical line and a short vertical line, with the long line indicating the positive terminal and the short line indicating the negative terminal. The voltage source is labeled as 'V'.",4.0,3.0,2.0,1.0,4.0
7fe87,Physics,"Find acceleration of block and wedge with respect to ground? Also Find Tension in the string ?

The diagram shows a block of mass 'm' on a wedge of mass 'm'. The wedge has an angle \(\theta\) with the horizontal. The block is connected to a string that passes over a pulley and is attached to a vertical wall. The surfaces are smooth.",4.0,2.0,1.0,1.0,3.5
da77d,Physics,"The diagram depicts a cart with wheels, partially filled with sand. A stationary hopper is positioned above the cart, dispensing sand into it at a rate of \( \mu \) kg/s. The cart moves horizontally with a velocity \( v \), and a force \( F \) is applied to maintain this constant velocity. The weight of the sand falling into the cart is represented by \( w \), and the weight of the sand leaking from the cart is represented by \( w \). The diagram is labeled 'At time t'.",4.0,1.0,1.0,1.0,3.0
7ce51,Physics,"सभी सीधे तार बहुत लम्बे हैं। AB तथा CD दोनों समान वृत्त के चाप हैं। दोनो केन्द्र O पर समकोण बनाते है, तो O पर चुम्बकीय क्षेत्र है -

The diagram shows a circuit with straight wires and circular arcs. There are four points A, B, C, and D on the circuit. The center of the arc is labeled as O. The radius of the arc is labeled as R. The current i flows through the circuit. The straight wires are labeled as A', B', C', and D'.",4.0,0.0,1.0,0.0,3.0
82271,Chemistry,% by mass sodium is 7% in salt of sodium (NaCl) find the min molecular mass of that salt.,4.0,2.0,1.0,1.0,3.0
d5820,Physics,"A small block is shot into each of the four tracks as shown below. Each of the tracks rises to the same height. The speed with which the block enters the track is the same in all cases. At the highest point of the track, the normal reaction is maximum in

The image shows four different tracks (A, B, C, and D). In each case, a block with initial velocity 'v' enters the track from the left. All tracks rise to the same height. Track A has a circular segment at the top, with the block entering the inner surface of the circle. Track B has a circular segment at the top, with the block entering the outer surface of the circle. Track C has a circular segment at the bottom, with the block entering the inner surface of the circle. Track D has a circular segment at the bottom, with the block entering the outer surface of the circle. An equation N + mg = mv'^2/r and N = mv'^2/r - mg is written near the diagram of option A, where N is the normal reaction, m is the mass of the block, v' is the velocity at the top of the circular segment, and r is the radius of the circular segment.",3.0,1.0,2.0,1.0,2.5
24d46,Chemistry,"The structure of A in the given reaction is :

The image shows a chemical reaction where a ketone is converted into a major product A. The reactant ketone has a carbonyl group (C=O) bonded to an alkyl chain (represented by 'R'). The reaction is carried out in the presence of NaOH and a reagent with a bromine atom attached to a two-carbon chain. The major product A is not fully shown but is indicated by an arrow pointing from the reactants. Additionally, four different alcohol structures are shown, labeled (1) to (4). Structure (1) has an 'R' group attached to a carbon, which is also bonded to a hydroxyl group (OH) and a methyl group (CH3), with a bromine (Br) atom on the methyl group. Structure (2) has an 'R' group attached to a carbon, which is also bonded to a hydroxyl group (OH) and a methyl group (CH3), with a bromine (Br) atom on the ethyl group. Structure (3) has an 'R' group attached to a carbon, which is double-bonded to an oxygen atom. The carbon is also bonded to two methyl groups (CH3). Structure (4) has an 'R' group attached to a carbon, which is double-bonded to an oxygen atom. The carbon is also bonded to a hydroxyl group (OH).",3.0,2.0,1.0,1.0,2.5
6266f,Mathematics,"$\int cos^2 x dx$
$\int (\frac{1 + cos2x}{2}) dx$
$\frac{1}{2} \int dx + \frac{1}{2} \int cos 2x dx$
$\frac{x}{2} + \frac{1}{4} sin^2 x + C$",3.0,2.0,1.0,0.0,2.5
a107f,Chemistry,"The image shows a chemical reaction sequence. An alkyl halide, 2-chlorobutane, reacts with chlorine (Cl2) under light (hv) to produce a mixture of products labeled as 'M'. This mixture then undergoes fractional distillation to yield 'N' (fractions).",3.0,3.0,1.0,1.0,2.5
62dc6,Mathematics,log_{0.5x} x^2 - 14 log_{16x} x^3 + 40 log_{4x} \sqrt{x} = 0,2.0,2.0,0.0,0.0,1.5
